"","variablename","collunitid","age","agetype","ageolder","ageyounger","chronologyid","chronologyname","units","value","context","element","taxonid","symmetry","taxongroup","elementtype","ecologicalgroup","analysisunitid","sampleanalyst","sampleid","depth","thickness","samplename","datasetid","database","datasettype","age_range_old","age_range_young","datasetnotes","siteid","sitename","lat","long","area","sitenotes","description","elev","handle","colldate","location","waterdepth","collunittype","collectiondevice","defaultchronology","collectionunitname","depositionalenvironment","family","genus","species","REGION"
"1726086","Amaranthaceae","37925",0,"Calibrated radiocarbon years BP",NA,NA,37160,"cal yr BP","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",387137,"Heikkilä, Maija","507276",1,1,NA,"52082","European Pollen Database","pollen",11000,0,"Data submitted by Seppä, H. and Heikkilä, M.to  Landclim Project and submitted by Gaillard, M.J. to the EPD.","28072","Laihalampi",61.48833,26.08083,NA,"Data source Seppä, H. and Heikkilä, M. for Landclim Project","Small shallow lake.
Physiography: basin.
Surrounding vegetation: Pinus sylvestris &amp; Picea abies.",NA,"LAIH",1999-12-01,"centre of the lake (water depth = 1.2m)",NA,NA,"Russian sampler (10cm)",37159,NA,"Lacustrine","Amaranthaceae",NA,NA,"Europe"
"1784345","Amaranthaceae","37926",0,"Calibrated radiocarbon years BP",NA,NA,37162,"cal yr BP","NISP",11,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",387298,"Burjachs Casas, Francesc","507431",0,NA,NA,"52084","European Pollen Database","pollen",3558.378,0,"Data contributed by Woodbridge, J. to the EPD.","28073","Pla de l'Estany",42.18833,2.52972,NA,NA,"Ancient lacustrine basin. Physiography: depression. Surrounding vegetation: deciduous and evergreen oak forests and cultivation. Volcanic field.",NA,"ESTANY",1981-05-01,"In the depression",NA,NA,"Mechanical rotary drill",37161,NA,"Palustrine","Amaranthaceae",NA,NA,"Europe"
"402829","Cichorioideae","37928",-46,"Calibrated radiocarbon years BP",NA,NA,37166,"Cal yr BP","NISP",2,NA,"pollen",160,NA,"Vascular plants","pollen","UPHE",387448,"Seppä, Heikki","507589",0,1,NA,"52088","European Pollen Database","pollen",9584,-46,"Data submitted by Seppä, H. to LandClim Project and submitted by Gaillard, M.J. to the EPD.","28074","Toskaljarvi",69.2,21.46667,NA,"Data source Seppä, H. for LandClim Project","Lake. Physiography: wide valley. Surrounding vegetation: Betula, Vaccinum, Empetrum & Sedge.",NA,"TOSK",1999-04-01,"centre of the lake (water depth = 21.5m)",NA,NA,"rodless piston corer",37165,NA,"Lacustrine","Asteraceae",NA,NA,"Europe"
"7526860","Asphodelus","37929",2311,"Calibrated radiocarbon years BP",NA,NA,37168,"Cal yr BP","NISP",1,NA,"pollen",3564,NA,"Vascular plants","pollen","UPHE",387636,"Leunda, Maria","507778",14,NA,NA,"52090","European Pollen Database","pollen",4959,2285.467,"Data submitted by Maria Leunda to the EPD.","28075","Armeña",42.51444,0.33611,NA,NA,"Cave in the slope of Cotiella Peak. Physiography: glacial cirque.
Surrounding vegetation: alpine herb and dwarf shrubs.",NA,"A294",2015-07-01,"In the cave",NA,NA,NA,37167,NA,"Cave","Asphodelaceae","Asphodelus",NA,"Europe"
"1784506","Amaranthaceae","37930",-31,"Calibrated radiocarbon years BP",NA,NA,37170,"cal yr BP","NISP",34,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",387698,"Leunda, Maria","507835",2.7,NA,NA,"52092","European Pollen Database","pollen",14473,-31,"Data contributed by Gil-Romera, G. to the EPD.","28076","Marboré Lake",42.69556,0.04,NA,NA,"Alpine glacial lake. Physiography: cirque in Tucarroya Peak. Surrounding vegetation: Silene, Linaria, Crepis, Campanula.",NA,"MARBORE",2011-08-01,"NE of centre of the lake (water depth = 25m)",25,NA,"Piston corer, Uwitec platform",37169,NA,"Glacial Origin Lake","Amaranthaceae",NA,NA,"Europe"
"8320810","Anthriscus sylvestris-type","37931",28,"Varve years BP",NA,NA,37171,"Cal yr BP","NISP",2,NA,"pollen",3802,NA,"Vascular plants","pollen","UPHE",387802,"Mazier, Florence","507927",12,NA,NA,"52093","European Pollen Database","pollen",5344,28,"Data submitted by Mazier, F.tor Landclim Project and submitted by gaillard, M.J. to the EPD.","28077","Lehmilampi",63.61667,29.1,NA,"sampling date 2004 to 2007, diameter of coring 5 to 6.5cm, Data source Mazier, F. for Landclim Project","Small lake. Physiography: depression. Surrounding vegetation: pine and spruce.",NA,"LEM",2004-01-01,"border east of the lake (water depth = 11m)",NA,NA,"stationary piston &  Kullenberg",37171,NA,"Lacustrine","Apiaceae","Anthriscus",NA,"Europe"
"2140197","Apiaceae","37932",-50.7,"Calibrated radiocarbon years BP",NA,NA,37173,"Giesecke et al. 2014 (MADCAP)","NISP",1,NA,"pollen",311,NA,"Vascular plants","pollen","UPHE",387834,"Grant, Michael J.","507959",2,NA,NA,"52095","European Pollen Database","pollen",2974.2,13.3,"Data contributed by Grant, M.J. to the EPD.","28078","Alderhill Bottom",50.92333,-1.71556,NA,NA,"Mire. Physiography: open heath in low hilly area. Surrounding vegetation: softwood and hardwood plantations.",NA,"ALDERHIB",2003-01-01,"in the mire",NA,NA,NA,37172,NA,"Mire","Apiaceae",NA,NA,"Europe"
"8220683","Cichorieae","37933",440,"Calibrated radiocarbon years BP",NA,NA,37175,"cal. yr BP","NISP",33,NA,"pollen",9958,NA,"Vascular plants","pollen","UPHE",387889,"Greig, James R. A.","508018",58,NA,NA,"52097","European Pollen Database","pollen",2615.667,440,"Data contributed by Greig, J.R.A. to the EPD.","28079","Beckford",52.02917,-2.01806,NA,"2 study phases (80's & 2000s). Archaeological site: Bronze Aga but mainly Iron Age  and Roman","Peat bog under alluvium. Physiography: border of river Carrent Brook. Surrounding vegetation: cultivated fields.",NA,"BECKFOT2",1978-09-01,"sampled before the gravel quarring",NA,NA,"mechanical excavator",37174,NA,"Bog",NA,NA,NA,"Europe"
"8220276","Cichorieae","37934",1216.833,"Calibrated radiocarbon years BP",NA,NA,37177,"cal. yr BP","NISP",1,NA,"pollen",9958,NA,"Vascular plants","pollen","UPHE",387934,"Greig, James R. A.","508061",100,NA,NA,"52099","European Pollen Database","pollen",4818.889,1216.833,"Data contributed by Greig, J.R.A. to the EPD.","28080","Wellington Quarry",52.11667,-2.73333,NA,"Prehistoric, Roman and later occupation","Palaeochannel. Physiography: floodplain of river Lugg. Surrounding vegetation: cultivated fields.",NA,"WELT2",1989-01-01,"where stratigraphy was even and deep",NA,NA,"cork borer",37176,NA,"Riverine",NA,NA,NA,"Europe"
"4843337","Ericales","37935",590,"Calibrated radiocarbon years BP",NA,NA,37179,"cal. yr BP","NISP",2,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",387983,"Greig, James R. A.","508115",70,NA,NA,"52101","European Pollen Database","pollen",9650,658,"Data contributed by Greig, J.R.A. to the EPD.","28081","Cookley",52.41583,-2.24083,NA,NA,"Peat overlain by sand. Physiography: in valley aluvium of river Stour. Surrounding vegetation: forest and cultivated fields.",NA,"COOK2",1978-01-01,"section in the site",NA,NA,"cutting",37178,NA,"Mire",NA,NA,NA,"Europe"
"8220057","Cichorieae","37936",-3.183333,"Calibrated radiocarbon years BP",NA,NA,37181,"cal. yr BP","NISP",2,NA,"pollen",9958,NA,"Vascular plants","pollen","UPHE",388073,"Grant, Michael J.","508211",2.5,NA,NA,"52103","European Pollen Database","pollen",4568.286,-3.183333,"Data contributd by Grant, M.J. to the EPD.","28082","Bigland Tarn",54.23778,-2.99028,NA,NA,"Lake in bog. Physiography: kettle-hole in basin. Surrounding vegetation: forest and cultivated fields.",NA,"BIGLANDT",2003-01-01,"centre of the lake (water depth = 5m)",NA,NA,"Livingstone corer",37180,NA,"Lacustrine",NA,NA,NA,"Europe"
"1756046","Amaranthaceae","37937",8633.214,"Calibrated radiocarbon years BP",NA,NA,37183,"cal. yr BP","NISP",10,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",388105,"Grant, Michael J.","508223",89,NA,NA,"52105","European Pollen Database","pollen",12022.5,8633.214,"Data contributed by Grant, M.J. to the EPD.","28083","Channel Area 240",52.56861,1.8925,NA,"NORTH SEA IN EPD, Not used in NEOTOMA (only Atlantic Ocean)","Coastal North Sea. Physiography: coastal floodplain. Surrounding vegetation: coastal grassland and cultivated fields.",NA,"240VC8C1",2008-01-01,"west part of area 240 (water depth = 30.7m)",NA,NA,"vibrocore sampling",37182,NA,"Archaeological","Amaranthaceae",NA,NA,"Europe"
"7196430","Cardueae","37938",-56.9,"Calibrated radiocarbon years BP",NA,NA,37185,"cal BP","NISP",1,NA,"pollen",413,NA,"Vascular plants","pollen","UPHE",388106,"Pérez-Sanz, Ana","508245",0.5,NA,NA,"52107","European Pollen Database","pollen",9798,-56.9,"Data contributed by Gil-Romera, G. to the EPD.","28084","Basa de la Mora",42.54556,0.32528,NA,"Coordinates corrected with Google Earth.","Shallow glacial lake. Physiography: in the Cotiella Massif. Surrounding vegetation: subalpine meadows, Pinus uncinata forests, shrublands.",NA,"BASAMORA",2008-08-01,"Deepest part of the lake",3,NA,"Uwitec coring on platform",37184,NA,"Lacustrine",NA,NA,NA,"Europe"
"1730002","Amaranthaceae","37939",5331,"Calibrated radiocarbon years BP",NA,NA,37187,"cal BP","NISP",6,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",388270,"Gil-Romera, Graciela","508394",75,NA,NA,"52109","European Pollen Database","pollen",14880,5331,"Data contributed by Gil-Romera, G. to the EPD.","28085","El Portalet",42.79873,-0.39943,NA,"New analysis","Peatbog. Physiography: small glacial cirque. Surrounding vegetation: alpine grassland, Vaccinium myrtillus.",NA,"PORTALET",2000-01-01,"center of the peatbog",NA,NA,"Modified Livingstone corer",37186,NA,"Bog","Amaranthaceae",NA,NA,"Europe"
"1809184","Amaranthaceae","37940",-60,"Calibrated radiocarbon years BP",NA,NA,37189,"cal. yr BP","NISP",4,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",388530,"Grant, Michael J.","508657",2,NA,NA,"52111","European Pollen Database","pollen",3621.407,31,"Data contributed by Grant, M.J. to the EPD.","28086","Barrow Moor",50.865,-1.64639,NA,"clusters of Mesolithic flint Bronze Age barrows","Mire. Physiography: valley mire. Surrounding vegetation: Quercus, Fagus, recent Pinus & Abies.",NA,"BARROWMO",2000-01-01,"centre of the mire",NA,NA,"Russian corer",37188,NA,"Mire","Amaranthaceae",NA,NA,"Europe"
"3164751","Apiaceae undiff.","37941",-60,"Calibrated radiocarbon years BP",NA,NA,37191,"cal. yr BP","NISP",2,NA,"pollen",1172,NA,"Vascular plants","pollen","UPHE",388691,"Grant, Michael J.","508815",2,NA,NA,"52113","European Pollen Database","pollen",10497.86,-60,"Data contributed by Grant, M.J. to the EPD.","28087","Church Moor",50.86111,-1.65083,NA,"Iron Age settlement, cluster of Roman pottery kilns","Mire. Physiography: valley mire. Surrounding vegetation: Quercus, Fagus, recent Pinus & Abies.",NA,"CHURCHMO",2000-01-01,"border of the mire",NA,NA,"Russian corer",37190,NA,"Mire","Apiaceae",NA,NA,"Europe"
"1823174","Amaranthaceae","37942",-49.71429,"Calibrated radiocarbon years BP",NA,NA,37193,"cal. yr BP","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",388827,"Grant, Michael J.","508957",2,NA,NA,"52115","European Pollen Database","pollen",4511.111,-49.71429,"Data contributed by Grant, M.J. to the EPD.","28088","Gritnam Bog",50.85917,-1.59806,NA,"Mesolithic flint, medieval and post-medieval periods","Bog in acient woodland. Physiography: Plateau gravels and headon beds. Surrounding vegetation: Quercus &amp; Fagus woodland, agriculture.",NA,"GRITMANB",2003-01-01,"central axis of Gritam Bog",NA,NA,"Russian  corer (5cm)",37192,NA,"Bog","Amaranthaceae",NA,NA,"Europe"
"1730498","Amaranthaceae","37943",-50.7,"Calibrated radiocarbon years BP",NA,NA,37195,"cal. yr BP","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",388898,"Grant, Michael J.","509027",2,NA,NA,"52117","European Pollen Database","pollen",6635.625,-50.7,"Data contributed by grant, M.J. to the EPD.","28089","Hive Garn Bottom",50.93417,-1.72083,NA,"Mesolithic and Neolithic flints and srapers. Bronze Age: barrows and mounds.","Mire. Physiography: valley mire in plateau gravels. Surrounding vegetation: heathland and silviculture plantations.",NA,"HIVEGARB",2003-01-01,"central part of valley mire",NA,NA,"Russian corer (5cm)",37194,NA,"Mire","Amaranthaceae",NA,NA,"Europe"
"8220552","Cichorieae","37944",-51.23077,"Calibrated radiocarbon years BP",NA,NA,37197,"cal. yr BP","NISP",3,NA,"pollen",9958,NA,"Vascular plants","pollen","UPHE",388973,"Grant, Michael J.","509094",2,NA,NA,"52119","European Pollen Database","pollen",993.7778,19.11111,"Data contributed by Grant, M.J. to the EPD.","28090","Stephill Bottom",50.84639,-1.49722,NA,"Mesolithic, Bronze Age and Medieval remains","Bog in heathland area. Physiography: Barton sand with plateau gravels. Surrounding vegetation: Salix swamp carr Betula shrubs, Frangula.",NA,"STEPHILB",2003-01-01,"deepest part of the mire",NA,NA,"Russian corer (5cm)",37196,NA,"Bog",NA,NA,NA,"Europe"
"8220847","Cichorieae","37945",-50.4,"Calibrated radiocarbon years BP",NA,NA,37199,"cal.yr BP","NISP",2,NA,"pollen",9958,NA,"Vascular plants","pollen","UPHE",389019,"Grant, Michael J.","509149",2,NA,NA,"52121","European Pollen Database","pollen",9033,-50.4,"Data contributed by Grant, M.J. to the EPD.","28091","The Noads Bog",50.85389,-1.43583,NA,"some Bronze Age remains","Bog in heathland. Physiography: Plateau gravels and Barton sands. Surrounding vegetation: Quercus &amp; Fagus woodland, Tilia, Pinus.",NA,"NOADSBOG",2003-01-01,"centre of the mire",NA,NA,"Russian corer (5cm)",37198,NA,"Bog",NA,NA,NA,"Europe"
"7889129","Hedera helix","37946",-50.90909,"Calibrated radiocarbon years BP",NA,NA,37201,"cal. yr BP","NISP",1,NA,"pollen",4367,NA,"Vascular plants","pollen","TRSH",389093,"Grant, Michael J.","509220",2,NA,NA,"52123","European Pollen Database","pollen",6668.602,8,"Data contributed by Grant, M.J. to the EPD.","28092","Rakes Brakes Bottom",50.9125,-1.68556,NA,"close to Bronze Age remains and Roman pottery sites","Mire in heathland. Physiography: large valley mire. Surrounding vegetation: plantations and woodland.",NA,"RAKESBRB",2002-01-01,"eastern site (deepest deposits)",NA,NA,"Russian corer (5cm)",37200,NA,"Mire","Araliaceae","Hedera","helix","Europe"
"1753482","Amaranthaceae","37947",595.4167,"Calibrated radiocarbon years BP",NA,NA,37203,"cal. yr BP","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",389157,"Grant, Michael J.","509285",8,2,NA,"52125","European Pollen Database","pollen",1403,596.25,"Data contributed by Grant, M.J. to the EPD.","28093","Boundless Copse Hindhead",51.12083,-0.71583,NA,"Archaological works undertaken in advance of improvements to the A3. Potential periods: Mesolithic to post-medieval and modern periods","Peat deposit. Physiography: valley with former streams. Surrounding vegetation: birch &amp; pine woodlands, grazing.",NA,"BOUNDCOP",2004-01-01,"northern tunnel portal area, A3 route",NA,NA,"mechanical and hand auger",37202,NA,"Bog","Amaranthaceae",NA,NA,"Europe"
"1823298","Amaranthaceae","37948",-59,"Calendar years BP",NA,NA,37204,"Calibrated age","NISP",3,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",389191,"NA","509323",0,1,NA,"52127","Alpine Palynological Database","pollen",14427,-59,NA,"28094","Lago Verdarolo",44.35922,10.12311,NA,NA,"Small and shallow glacial lake. No inlet and only one small outlet on the north shore. Dominant bedrock in the catchment: sandstone and limestone. Young, closed and almost monospecific beech forests around the lake.",NA,"VERDARO",2009-08-01,"Deepest part of the lake",3,NA,"Modified Livingstone piston corer",37204,NA,"Glacial Origin Lake","Amaranthaceae",NA,NA,"Europe"
"7889213","Hedera helix","37949",1581.695,"Calibrated radiocarbon years BP",NA,NA,37205,"cal. yr BP","NISP",2,NA,"pollen",4367,NA,"Vascular plants","pollen","TRSH",389283,"Grant, Michael J.","509408",0,NA,NA,"52129","European Pollen Database","pollen",1590.244,1581.695,"Data contributed by Grant, M.J. to the EPD.","28095","Mawgan Porth Submerged Forest",50.46639,-5.03222,NA,"Late Romano-British to Early Medieval period","Intertidal site. Physiography: coastal. Surrounding vegetation: cultivated fields.",NA,"MAWGANP1",2016-09-01,"in the tidal zone",NA,NA,NA,37205,NA,"Coastal","Araliaceae","Hedera","helix","Europe"
"1339159","Betula","37950",-39,"Calibrated radiocarbon years BP",NA,NA,37207,"Giesecke et al. 2014 (MADCAP)","NISP",229,NA,"pollen",29,NA,"Vascular plants","pollen","TRSH",389299,"Grant, Michael J.","509418",15.5,NA,NA,"52131","European Pollen Database","pollen",3387,69.92223,"Data contributed by Grant, M.J. to the EPD.","28096","Lodge Road Bog B Epping Forest",51.67944,-0.06972,NA,NA,"Bog. Physiography: woodland pond. Surrounding vegetation: Quercus & fagus woodland, grasses.",NA,"LODGERBB",2005-01-01,"in the bog",NA,NA,NA,37206,NA,"Bog","Betulaceae","Betula",NA,"Europe"
"1729304","Amaranthaceae","37951",2524,"Calibrated radiocarbon years BP",NA,NA,37209,"Giesecke et al. 2014","NISP",11,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",389357,"Grant, Michael J.","509482",11,NA,NA,"52133","European Pollen Database","pollen",11723.74,2423.377,"Data contributed by Grant, M.J. to the EPD.","28097","Horton Quarry",51.46389,-0.54167,NA,"Archaeological site: Neolithic settlement","Palaeochannel. Physiography: floodplain gravels in Thames valley. Surrounding vegetation: shrubs and fields.",NA,"HORT7549",2008-01-01,"excavation in the quarry",NA,NA,"excavation since 2003",37208,NA,"Archaeological","Amaranthaceae",NA,NA,"Europe"
"1790221","Amaranthaceae","281",17,"Calibrated radiocarbon years BP",83,-34,25018,"PalEON-STEPPS","NISP",5,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",3923,"NA","5632",0,NA,NA,"287","North American Pollen Database","pollen",12356,-34,"The Alnus peak at 220 cm is correct based on count sheets but in published pollen diagram it does not appear.","281","Blue Mounds Creek",43.08333,-89.86667,NA,NA,NA,335,"BLUMOUND",NA,NA,NA,NA,NA,25018,NA,"Mire","Amaranthaceae",NA,NA,"North America"
"1803543","Amaranthaceae","37954",-44,"Calibrated radiocarbon years BP",-27,-52,37212,"Neotoma","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",389432,"Henne, Paul D.","509621",1,NA,NA,"52140","North American Pollen Database","pollen",12100,-52,NA,"28100","Clifford Lake",45.028548,-84.636414,NA,NA,"Clifford Lake is situated on the Port Huron moraine. Surrounding vegetation: Forest communities are dominated by sugar maple, although much of the surrounding landscape is occupied by abandoned agricultural land. Pre-European settlement forest communities were dominated by sugar maple (Acer saccharum), American beech (Fagus grandifolia), and eastern hemlock (Tsuga canadensis).",NA,"CLIFFMI",2002-07-13,"Deepest part of the lake",10,NA,"Wright square-rod piston corer",37212,NA,"Glacial Origin Lake","Amaranthaceae",NA,NA,"North America"
"4791147","Ambrosia","37955",368,"Calibrated radiocarbon years BP",592,184,37213,"Neotoma","NISP",4,NA,"pollen",345,NA,"Vascular plants","pollen","UPHE",389491,"Henne, Paul D.","509680",60,NA,NA,"52142","North American Pollen Database","pollen",14572,184,NA,"28101","O'Brien Lake",44.641044,-83.88304,NA,NA,"O'Brien Lake is located on a broad outwash plain. Surrounding vegetation: A forest community dominated by jack pine (Pinus banksiana) and red pine (P. resinosa). This forest is similar to the pre-European settlement vegetation. A wetland forest dominated by Tsuga occidentalis lines the outlet stream.",NA,"OBRIENMI",2004-05-17,"Deepest part of the lake",10,NA,"Wright square-rod piston corer",37213,NA,"Glacial Origin Lake","Asteraceae","Ambrosia",NA,"North America"
"1717642","Amaranthaceae","37956",-49,"Calibrated radiocarbon years BP",-40,-53,37214,"Neotoma","NISP",4,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",389529,"Henne, Paul D.","509716",1,NA,NA,"52144","North American Pollen Database","pollen",11262,-53,NA,"28113","Horseshoe Lake",44.599476,-83.769296,NA,NA,"Horseshoe Lake lies within a valley on the Port Huron Moraine. Surrounding vegetation: Second-growth mixed pine-oak forest community. Pinus resinosa, P. strobus, Quercus ellipsoidalis, and Populus. Pre-European settlement vegetation included abundant Tsuga canadensis and Fagus grandifolia.",NA,"HORSEMI",2002-07-15,"Deepest part of the lake",10,NA,"Wright square-rod piston corer",37214,NA,"Glacial Origin Lake","Amaranthaceae",NA,NA,"North America"
"4832478","Ericales","37957",NA,NA,NA,NA,NA,NA,"NISP",15,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",389590,"NA","509762",205,NA,NA,"52145","European Pollen Database","pollen",NA,NA,NA,"28114","Madurodam",52.09868,4.30252,NA,"See also: dinoloket.nl/ondergrondgegevens under corenumber B30G0258","A core taken from a peatbed in the miniaturetown Madurodam (The Hague, the Netherlands)",NA,"MADURO",1940-05-01,NA,NA,NA,"Dachnowski-sampler",NA,NA,"Coastal",NA,NA,NA,"Europe"
"4843543","Ericales","37958",411,"Calibrated radiocarbon years BP",488,295,37215,"Chronology1","NISP",3,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",389612,"NA","509778",200,NA,NA,"52147","European Pollen Database","pollen",550,295,NA,"28115","Schiermonnikoog Duinveen",53.47944,6.16737,NA,NA,"A core from a peat deposit from Schiermonnikoog (an island off the northern coast of the Netherlands) collected during sewage construction in the vallage of Oosterburen.",NA,"DUINV",1961-01-01,NA,NA,NA,NA,37215,NA,"Coastal",NA,NA,NA,"Europe"
"2167104","Apiaceae","37959",-27,"Calibrated radiocarbon years BP",40,-96,37216,"Chronology1","NISP",1,NA,"pollen",311,NA,"Vascular plants","pollen","UPHE",389619,"NA","509792",2,NA,NA,"52149","European Pollen Database","pollen",1601,-96,NA,"28116","Terschelling Kooibosjes",53.3762,5.21798,NA,NA,"Core taken from the lower-lying southern part of the island Terschelling (the Netherlands).",NA,"KOOIB",NA,NA,NA,NA,NA,37216,NA,"Coastal","Apiaceae",NA,NA,"Europe"
"1823320","Amaranthaceae","37960",13.9,"Calibrated radiocarbon years BP",NA,NA,37217,"cal yr BP","NISP",17,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",389650,"Mercuri, Anna Maria","509854",4.5,NA,NA,"52150","European Pollen Database","pollen",14039,13.9,"Data contributed by Mercuri, A.M. via Woodbridge, J. to the EPD.","28117","Lago Albano",41.75,12.66667,NA,NA,"Lake. Physiography: crater origin in Albano Hills. Surrounding vegetation: evergreen woodland Orno-Quercetum ilicis.",NA,"ALBANO1E",1994-06-01,"north-west of the lake (water depth = 70m)",NA,NA,"Kullenberg piston corer",37217,NA,"Volcanic Origin Lake","Amaranthaceae",NA,NA,"Europe"
"4832426","Ericales","37961",NA,NA,NA,NA,NA,NA,"NISP",5,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",389725,"NA","509821",4370,NA,NA,"52151","European Pollen Database","pollen",NA,NA,NA,"28118","Meinweg",51.16716,6.1095,NA,"See also: https://www.dinoloket.nl/ondergrondgegevens. To find this core, fill in the core name (B58G0027) in the search bar.","Core with Early Pleistocene (including Preatiglian and Reuverian) sediments.",NA,"MEIN",1952-10-01,NA,NA,NA,NA,NA,NA,"Fluvial",NA,NA,NA,"Europe"
"1769264","Amaranthaceae","37962",-62.8,"Calibrated radiocarbon years BP",NA,NA,37219,"Cal yr BP","NISP",61,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",389766,"Litt, Thomas","509946",2.5,NA,NA,"52153","European Pollen Database","pollen",6328.5,-62.8,"Data contributed by Mibach, A. via Woodbridge, J. to the EPD.","28119","Birkat Ram",33.25,35.66667,NA,NA,"Cratere lake. Physiography: volcanic caldera. Surrounding vegetation: oak woodland, Pistacia and Quercus.",NA,"BIRKATRA",1999-12-01,"southern central of the lake (water depth = 1.5m)",1.5,NA,"gravity/single piston corers",37218,NA,"Volcanic Origin Lake","Amaranthaceae",NA,NA,"Europe"
"1720140","Amaranthaceae","37963",5.083884,"Calibrated radiocarbon years BP",NA,NA,37221,"Cal yr BP","NISP",28,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",389913,"Schiebel, Vera","510131",1,NA,NA,"52155","European Pollen Database","pollen",8917.133,5.083884,"Data contributed by Miebach, A. via Woodbridge, J. to the EPD.","28120","Kinneret",32.82028,35.58861,NA,"Ki10 II is drilled 2 m from Ki10 I","Lake. Physiography: basin. Surrounding vegetation: macchia and bathas scrub.",NA,"KINNERET",2010-03-01,"centre of the lake (water depth = 38m)",NA,NA,"gravity/piston corer (UWITEC)",37220,NA,"Lacustrine","Amaranthaceae",NA,NA,"Europe"
"1830169","Amaranthaceae","37964",0,"Calibrated radiocarbon years BP",NA,NA,37222,"cal yr BP","NISP",6,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",390066,"Mercuri, Anna Maria","510240",395.5,NA,NA,"52156","European Pollen Database","pollen",11386,0,"Data contributed by Mercuri, A.M. via Woodbridge, J. to the EPD.","28121","Lago di Nemi",41.71667,12.7,NA,NA,"Lake. Physiography: crater origin. Surrounding vegetation: evergreen woodland Orno-Quercetum ilicis.",NA,"NEMI1B",1994-01-01,"in the lake (water depth = 30m)",NA,NA,"piston corer",37222,NA,"Volcanic Origin Lake","Amaranthaceae",NA,NA,"Europe"
"8076549","Amaranthaceae-type","37965",66.91666,"Calibrated radiocarbon years BP",NA,NA,37224,"Cal yr BP","NISP",1,NA,"pollen",5170,NA,"Vascular plants","pollen","UPHE",390116,"Webb, Julia C.","510293",2,1,NA,"52158","European Pollen Database","pollen",13400,134.1667,"Data contributed by Webb, J.C. to the EPD.","28122","Skomer",51.74,-5.3,NA,"Archaeological site","Shallow soil. Physiography: valley in small island. Surrounding vegetation: grasses, sedges, some shrub oak.",NA,"SKOMERS4",2012-01-01,"southern valley of Skomer Island",NA,NA,"Russian corer (5cm)",37223,NA,"Soil","Amaranthaceae",NA,NA,"Europe"
"1810993","Amaranthaceae","37966",8095.6,"Calibrated radiocarbon years BP",NA,NA,37226,"Cal. BP","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",390143,"Di Rita, Feredico","510316",132,NA,NA,"52160","European Pollen Database","pollen",14124.4,8095.6,"Data submitted by Woodbridge, J. to the EPD.","28123","Valle di Castiglione",41.89167,12.75972,NA,"Area has been occupied since the Neolithic.","Ancient lake drained in the XIX century. Physiography: volcanic crater.
Surrounding vegetation: mixed deciduous oak forest.",NA,"CASTIGLI",2009-01-01,"centre of the ancient lake",NA,NA,NA,37225,NA,"Palustrine","Amaranthaceae",NA,NA,"Europe"
"1736379","Amaranthaceae","37967",330.3,"Calibrated radiocarbon years BP",NA,NA,37228,"Cal. BP","NISP",47,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",390215,"Di Rita, Feredico","510392",5,NA,NA,"52162","European Pollen Database","pollen",7042.6,330.3,"Archaeological sites around. Data submitted by Woodbridge, J. to the EPD.","28124","Lingua d'Oca",41.83056,12.275,NA,NA,"Marsh. Physiography: Tiber delta. Surrounding vegetation: agriculture.",NA,"OCAINTER",2001-01-01,"near Lingua d'Oca canal",NA,NA,NA,37227,NA,"Marsh","Amaranthaceae",NA,NA,"Europe"
